h,index,nqubit,SRE,val
0,0,9,0.165625397,0.018402822
0.2,1,9,0.133271079,0.014807898
0.4,2,9,0.530123121,0.058902569
0.6,3,9,1.229578441,0.136619827
0.8,4,9,2.393147701,0.2659053
1,5,9,3.522962276,0.391440253
1.2,6,9,2.642668244,0.293629805
1.4,7,9,1.820761872,0.202306875
1.6,8,9,1.344209051,0.149356561
1.8,9,9,1.042842437,0.115871382
2,10,9,0.836522672,0.092946964
2.2,11,9,0.687539378,0.076393264
2.4,12,9,0.575848717,0.063983191
2.6,13,9,0.489719494,0.054413277
2.8,14,9,0.421799002,0.046866556
3,15,9,0.367243209,0.040804801
3.2,16,9,0.322737082,0.035859676
3.4,17,9,0.285942148,0.03177135
3.6,18,9,0.25516705,0.028351894
3.8,19,9,0.229162311,0.025462479
4,20,9,0.206987883,0.022998654
